[ 2025-07-18 18:33:24,045 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-18 18:33:35,028 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-18 18:33:35,028 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-18 18:33:35,028 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-18 18:33:35,086 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-18 18:33:35,086 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-18 18:33:35,097 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-18 18:33:35,112 ] 33 root - INFO - Required number of columns:2
[ 2025-07-18 18:33:35,112 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-18 18:33:35,124 ] 33 root - INFO - Required number of columns:2
[ 2025-07-18 18:33:35,124 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-18 18:33:35,286 ] 30 root - INFO - data Validation Completed
[ 2025-07-18 18:33:35,286 ] 34 root - INFO - data Transformation started
[ 2025-07-18 18:33:35,286 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-18 18:33:35,286 ] 65 root - INFO - Starting data transformation
[ 2025-07-18 18:33:35,320 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-18 18:33:35,320 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-18 18:33:35,330 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-18 18:33:35,330 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-18 18:33:35,330 ] 38 root - INFO - data Transformation completed
[ 2025-07-18 18:33:35,330 ] 40 root - INFO - Model Training sstared
