[ 2025-07-16 23:37:09,315 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-16 23:37:17,515 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-16 23:37:30,449 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-16 23:37:30,450 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-16 23:37:30,452 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-16 23:37:30,678 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-16 23:37:30,680 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-16 23:37:30,713 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-16 23:37:30,898 ] 33 root - INFO - Required number of columns:2
[ 2025-07-16 23:37:30,898 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-16 23:37:30,898 ] 33 root - INFO - Required number of columns:2
[ 2025-07-16 23:37:30,898 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-16 23:37:31,463 ] 30 root - INFO - data Validation Completed
[ 2025-07-16 23:37:31,464 ] 34 root - INFO - data Transformation started
[ 2025-07-16 23:37:31,464 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-16 23:37:31,464 ] 65 root - INFO - Starting data transformation
[ 2025-07-16 23:37:31,582 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-16 23:37:31,582 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-16 23:37:31,624 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-16 23:37:31,633 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-16 23:37:31,636 ] 38 root - INFO - data Transformation completed
