[ 2025-07-18 18:44:55,421 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-18 18:44:59,005 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-18 18:44:59,005 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-18 18:44:59,005 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-18 18:44:59,047 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-18 18:44:59,047 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-18 18:44:59,056 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-18 18:44:59,076 ] 33 root - INFO - Required number of columns:2
[ 2025-07-18 18:44:59,076 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-18 18:44:59,076 ] 33 root - INFO - Required number of columns:2
[ 2025-07-18 18:44:59,076 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-18 18:44:59,227 ] 30 root - INFO - data Validation Completed
[ 2025-07-18 18:44:59,227 ] 34 root - INFO - data Transformation started
[ 2025-07-18 18:44:59,227 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-18 18:44:59,227 ] 65 root - INFO - Starting data transformation
[ 2025-07-18 18:44:59,243 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-18 18:44:59,243 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-18 18:44:59,260 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-18 18:44:59,262 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-18 18:44:59,264 ] 38 root - INFO - data Transformation completed
[ 2025-07-18 18:44:59,264 ] 40 root - INFO - Model Training sstared
[ 2025-07-18 18:48:57,769 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-18 18:48:57,772 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-18 18:48:57,773 ] 150 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_18_2025_18_44_53\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912342569269521, precision_score=0.9875527002609917, recall_score=0.9949433656957929), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9775234981610135, precision_score=0.9692058346839546, recall_score=0.9859851607584501))
[ 2025-07-18 18:48:57,788 ] 45 root - INFO - Model Training artifact created
