[ 2025-07-18 18:23:22,342 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-18 18:23:35,184 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-18 18:23:35,184 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-18 18:23:35,188 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-18 18:23:35,309 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-18 18:23:35,310 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-18 18:23:35,324 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-18 18:23:35,370 ] 33 root - INFO - Required number of columns:2
[ 2025-07-18 18:23:35,371 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-18 18:23:35,374 ] 33 root - INFO - Required number of columns:2
[ 2025-07-18 18:23:35,374 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-18 18:23:35,666 ] 30 root - INFO - data Validation Completed
[ 2025-07-18 18:23:35,667 ] 34 root - INFO - data Transformation started
[ 2025-07-18 18:23:35,667 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-18 18:23:35,667 ] 65 root - INFO - Starting data transformation
[ 2025-07-18 18:23:35,716 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-18 18:23:35,716 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-18 18:23:35,743 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-18 18:23:35,749 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-18 18:23:35,751 ] 38 root - INFO - data Transformation completed
[ 2025-07-18 18:23:35,751 ] 40 root - INFO - Model Training sstared
