[ 2025-07-17 00:25:10,677 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-07-17 00:25:22,800 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-17 00:25:30,123 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-17 00:25:30,124 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-17 00:25:30,125 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-17 00:25:30,306 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-17 00:25:30,308 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-17 00:25:30,324 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-17 00:25:30,508 ] 33 root - INFO - Required number of columns:2
[ 2025-07-17 00:25:30,509 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-17 00:25:30,509 ] 33 root - INFO - Required number of columns:2
[ 2025-07-17 00:25:30,509 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-17 00:25:30,947 ] 30 root - INFO - data Validation Completed
[ 2025-07-17 00:25:30,947 ] 34 root - INFO - data Transformation started
[ 2025-07-17 00:25:30,948 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-17 00:25:30,948 ] 65 root - INFO - Starting data transformation
[ 2025-07-17 00:25:31,014 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-17 00:25:31,014 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-17 00:25:31,042 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-17 00:25:31,047 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-17 00:25:31,050 ] 38 root - INFO - data Transformation completed
[ 2025-07-17 00:25:31,050 ] 40 root - INFO - Model Training sstared
