[ 2025-07-19 00:00:09,061 ] 21 root - INFO - Initiate the data ingestion
[ 2025-07-19 00:00:54,032 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-07-19 00:00:54,032 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-07-19 00:00:54,034 ] 75 root - INFO - Exporting train and test file path.
[ 2025-07-19 00:00:54,084 ] 84 root - INFO - Exported train and test file path.
[ 2025-07-19 00:00:54,084 ] 23 root - INFO - Data Initiation Completed
[ 2025-07-19 00:00:54,094 ] 28 root - INFO - Initiate the data Validation
[ 2025-07-19 00:00:54,118 ] 33 root - INFO - Required number of columns:2
[ 2025-07-19 00:00:54,118 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-19 00:00:54,118 ] 33 root - INFO - Required number of columns:2
[ 2025-07-19 00:00:54,118 ] 34 root - INFO - Data frame has columns:31
[ 2025-07-19 00:00:54,260 ] 30 root - INFO - data Validation Completed
[ 2025-07-19 00:00:54,260 ] 34 root - INFO - data Transformation started
[ 2025-07-19 00:00:54,260 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-07-19 00:00:54,260 ] 65 root - INFO - Starting data transformation
[ 2025-07-19 00:00:54,284 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-07-19 00:00:54,284 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-07-19 00:00:54,295 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-07-19 00:00:54,310 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-07-19 00:00:54,310 ] 38 root - INFO - data Transformation completed
[ 2025-07-19 00:00:54,310 ] 40 root - INFO - Model Training sstared
